Y	M	Lead	P-Y	P-M	Streamflow_CV
1999 04 3 1999 06 30.6641
2000 04 3 2000 06 0.824948
2001 04 3 2001 06 51.0894
2002 04 3 2002 06 22.1624
2003 04 3 2003 06 38.056
2004 04 3 2004 06 80.3985
2005 04 3 2005 06 85.4891
2006 04 3 2006 06 1.90656
2007 04 3 2007 06 97.6436
2008 04 3 2008 06 2.83068
2009 04 3 2009 06 5.36446
2010 04 3 2010 06 66.3059
2011 04 3 2011 06 9.93272e-05
2012 04 3 2012 06 11.1272
2013 04 3 2013 06 11.8419
2014 04 3 2014 06 103.523
2015 04 3 2015 06 6563.3
2016 04 3 2016 06 105.158
1982 04 4 1982 07 518.355
1983 04 4 1983 07 502.233
1984 04 4 1984 07 0.181802
1985 04 4 1985 07 3.37837
1986 04 4 1986 07 8.82665
1987 04 4 1987 07 524.189
1988 04 4 1988 07 3.8805
1989 04 4 1989 07 0.177242
1990 04 4 1990 07 6.57555
1991 04 4 1991 07 0.240222
1992 04 4 1992 07 868.583
1993 04 4 1993 07 205.889
1994 04 4 1994 07 0.45334
1995 04 4 1995 07 10.107
1996 04 4 1996 07 64.0122
1997 04 4 1997 07 48.6309
1998 04 4 1998 07 0.269084
1999 04 4 1999 07 22.443
2000 04 4 2000 07 1.85224
2001 04 4 2001 07 11.5507
2002 04 4 2002 07 2.46318
2003 04 4 2003 07 278.49
2004 04 4 2004 07 82.3552
2005 04 4 2005 07 320.781
2006 04 4 2006 07 2.18591
2007 04 4 2007 07 5.65633
2008 04 4 2008 07 6.53073
2009 04 4 2009 07 1.83895
2010 04 4 2010 07 70.6915
2011 04 4 2011 07 6.12323e-07
2012 04 4 2012 07 0.820482
2013 04 4 2013 07 18.2985
2014 04 4 2014 07 0.0281793
2015 04 4 2015 07 0.802759
2016 04 4 2016 07 28.3679
1982 05 0 1982 05 1523.99
1983 05 0 1983 05 0.0159999
1984 05 0 1984 05 5.86999
1985 05 0 1985 05 1725
1986 05 0 1986 05 3.40999
1987 05 0 1987 05 297.999
1988 05 0 1988 05 18.6001
1989 05 0 1989 05 29.7
1990 05 0 1990 05 798.097
1991 05 0 1991 05 228.501
1992 05 0 1992 05 1052
1993 05 0 1993 05 159.7
1994 05 0 1994 05 85.1002
1995 05 0 1995 05 0.532
1996 05 0 1996 05 3.71976e-11
1997 05 0 1997 05 135.301
1998 05 0 1998 05 3.71976e-11
1999 05 0 1999 05 161.8
2000 05 0 2000 05 0.547
2001 05 0 2001 05 103.3
2002 05 0 2002 05 133.8
2003 05 0 2003 05 2.5
2004 05 0 2004 05 1020
2005 05 0 2005 05 69.1003
2006 05 0 2006 05 22.5999
2007 05 0 2007 05 327.101
2008 05 0 2008 05 17.0999
2009 05 0 2009 05 6.63
2010 05 0 2010 05 148.501
2011 05 0 2011 05 3.71976e-11
2012 05 0 2012 05 271.6
2013 05 0 2013 05 1.78
2014 05 0 2014 05 15.6
2015 05 0 2015 05 2621
2016 05 0 2016 05 94.3998
1982 05 1 1982 05 582.168
1983 05 1 1983 05 4.29998
1984 05 1 1984 05 0.697915
1985 05 1 1985 05 104.363
1986 05 1 1986 05 28.986
1987 05 1 1987 05 371.047
1988 05 1 1988 05 16.5356
1989 05 1 1989 05 4.26596
1990 05 1 1990 05 224.201
1991 05 1 1991 05 205.758
1992 05 1 1992 05 1147.65
1993 05 1 1993 05 421.818
1994 05 1 1994 05 2.09888
1995 05 1 1995 05 18.1205
1996 05 1 1996 05 0.0715547
1997 05 1 1997 05 833.521
1998 05 1 1998 05 6.49322
1999 05 1 1999 05 170.22
2000 05 1 2000 05 8.44628
2001 05 1 2001 05 104.582
2002 05 1 2002 05 0.315115
2003 05 1 2003 05 7.15332
2004 05 1 2004 05 221.443
2005 05 1 2005 05 60.3169
2006 05 1 2006 05 0.371662
2007 05 1 2007 05 7.28972
2008 05 1 2008 05 4.16389
2009 05 1 2009 05 0.0190875
2010 05 1 2010 05 173.81
2011 05 1 2011 05 0.153684
2012 05 1 2012 05 23.2809
2013 05 1 2013 05 0.000686696
2014 05 1 2014 05 0.0719319
2015 05 1 2015 05 1.92151e+06
2016 05 1 2016 05 169.986
1982 05 2 1982 06 1570.51
1983 05 2 1983 06 0.620618
1984 05 2 1984 06 8.43069
1985 05 2 1985 06 525.061
1986 05 2 1986 06 7.02113
1987 05 2 1987 06 209.658
1988 05 2 1988 06 7.65172
1989 05 2 1989 06 30.4418
1990 05 2 1990 06 55.1383
1991 05 2 1991 06 76.6143
1992 05 2 1992 06 5076.21
1993 05 2 1993 06 665.59
1994 05 2 1994 06 39.348
1995 05 2 1995 06 0.128364
1996 05 2 1996 06 0.00275737
1997 05 2 1997 06 303.141
1998 05 2 1998 06 0.0761425
1999 05 2 1999 06 139.801
2000 05 2 2000 06 2.217
2001 05 2 2001 06 110.69
2002 05 2 2002 06 17.8222
2003 05 2 2003 06 5.7856
2004 05 2 2004 06 444.246
2005 05 2 2005 06 26.2388
2006 05 2 2006 06 4.19458
2007 05 2 2007 06 128.091
2008 05 2 2008 06 3.45065
2009 05 2 2009 06 20.4288
2010 05 2 2010 06 88.0645
2011 05 2 2011 06 0.375475
2012 05 2 2012 06 37.8744
2013 05 2 2013 06 5.9927
2014 05 2 2014 06 10.0687
2015 05 2 2015 06 190.65
2016 05 2 2016 06 6.71219
1982 05 3 1982 07 17.539
1983 05 3 1983 07 56.2669
1984 05 3 1984 07 0.00701295
1985 05 3 1985 07 6.02637
1986 05 3 1986 07 97.7892
1987 05 3 1987 07 7580.97
1988 05 3 1988 07 0.897696
1989 05 3 1989 07 0.369335
1990 05 3 1990 07 48.2155
1991 05 3 1991 07 2.19703
